Topic,Count,Name,Representation,Keyphrases,LLM_Insights,Representative_Docs,Ticket_IDs
10,226,10_peculiar_popping_error_message_mean,"['peculiar', 'popping', 'error_message', 'mean', 'does', 'message', 'says', 'screen', 'error', 'noticed']","['issue product_purchased', 'having issue product_purchased', 'message popping product_purchased', 'product_purchased screen says', 'issue product_purchased assist', 'product_purchased screen', 'popping product_purchased screen', 'product_purchased assist', 'product_purchased assist product', 'product_purchased']","['**Main Theme:** Customers are encountering frequent and confusing error messages on their purchased products, leading to requests for assistance.']","[""Display issue I'm having an issue with the {product_purchased}. Please assist. I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?"", ""Product compatibility I'm having an issue with the {product_purchased}. Please assist.\n\nThank you for your efforts. I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?"", ""Installation support I'm having an issue with the {product_purchased}. Please assist.\n\n{product_pricing}\n\n{product_amount} {1$}\n\n{product_amount } I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?""]","65,66,94,150,167,203,215,252,303,309,310,331,369,467,493,526,528,584,627,652,660,687,811,851,858,919,920,952,1099,1149,1174,1194,1211,1259,1281,1297,1322,1325,1393,1408,1491,1537,1562,1583,1596,1616,1624,1743,1756,1761,1861,1882,1955,1994,2015,2023,2033,2040,2067,2076,2081,2086,2104,2128,2195,2241,2267,2334,2337,2389,2414,2608,2620,2812,2813,2849,2937,2983,2991,3039,3041,3067,3117,3123,3135,3153,3158,3177,3233,3239,3301,3370,3394,3480,3506,3592,3613,3630,3636,3696,3699,3726,3878,3936,3968,3976,3994,4048,4054,4223,4308,4334,4372,4459,4466,4473,4591,4639,4651,4678,4703,4713,4762,4823,4896,4932,4937,5007,5044,5047,5054,5077,5166,5212,5216,5217,5224,5240,5268,5279,5303,5319,5347,5373,5410,5495,5498,5501,5536,5538,5571,5601,5619,5660,5669,5678,5713,5721,5736,5787,5816,6017,6061,6062,6149,6177,6237,6242,6301,6321,6396,6404,6435,6449,6504,6505,6570,6607,6631,6671,6672,6690,6712,6722,6752,6763,6816,6850,6867,6901,6920,6968,6972,7048,7082,7087,7100,7128,7184,7192,7199,7269,7274,7300,7312,7334,7446,7500,7575,7614,7618,7683,7692,7709,7729,7737,7781,7790,7839,7887,8013,8114,8124,8190,8196,8321"
11,176,11_charger_charging_came_original,"['charger', 'charging', 'came', 'original', 'properly', 'using', 'not', 'that', 'with', 'but']","['product_purchased charging properly', 'product_purchased charging', 'came product_purchased charging', 'charger came product_purchased', 'having issue product_purchased', 'charging properly product', 'issue product_purchased', 'product_purchased', 'original charger came', 'charging properly software']","['**Main Theme:** Customers are experiencing issues with their purchased product, particularly related to charging problems.']","[""Display issue I'm having an issue with the {product_purchased}. Please assist. I'm using the original charger that came with my {product_purchased}, but it's not charging properly."", ""Hardware issue I'm having an issue with the {product_purchased}. Please assist. I'm using the original charger that came with my {product_purchased}, but it's not charging properly."", ""Network problem I'm having an issue with the {product_purchased}. Please assist.\n\nI'm having an issue with the{product_purchased}. Please assist.\n\nWhat?\n\nThe product_order_id is a I'm using the original charger that came with my {product_purchased}, but it's not charging properly.""]","3,11,29,140,144,240,246,311,388,432,511,532,604,622,644,655,850,877,959,974,992,1017,1032,1053,1166,1248,1294,1343,1439,1441,1499,1663,1676,1768,1775,1814,1854,1919,1946,1970,1982,2024,2079,2089,2090,2279,2364,2390,2410,2415,2426,2437,2487,2534,2538,2609,2666,2702,2731,2784,2801,2822,2844,2887,2977,3053,3114,3143,3148,3215,3245,3266,3284,3343,3349,3406,3436,3531,3551,3567,3655,3674,3788,3876,3903,3938,3970,3992,4004,4024,4037,4038,4063,4074,4191,4216,4264,4309,4433,4480,4544,4567,4673,4749,4797,4846,4867,4883,4889,4894,4915,5019,5413,5428,5431,5494,5509,5725,5829,5847,5859,5908,5929,5971,5983,6051,6083,6110,6168,6236,6250,6320,6356,6382,6445,6446,6605,6682,6698,6700,6706,6739,6854,6871,6935,6948,6962,7046,7056,7278,7281,7390,7478,7511,7678,7722,7756,7861,7869,7891,7941,7962,8005,8058,8063,8075,8110,8163,8199,8222,8258,8263,8322,8340,8341,8361"
12,271,12_compatibility_product_performed_hoping,"['compatibility', 'product', 'performed', 'hoping', 'factory', 'help', 'didn', 'reset', 'but', 'it']","['having issue product_purchased', 'issue product_purchased', 'product_purchased hoping resolve', 'issue product_purchased assist', 'product_purchased', 'reset product_purchased', 'factory reset product_purchased', 'product_purchased hoping', 'reset product_purchased hoping', 'product_purchased assist']","['**Main Theme:** Customers are experiencing persistent compatibility issues with their purchased products, leading to frustration and decreased productivity.']","[""Product compatibility I'm having an issue with the {product_purchased}. Please assist. The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly."", ""Product compatibility I'm having an issue with the {product_purchased}. Please assist. I've already contacted customer support multiple times, but the issue remains unresolved."", ""Product compatibility I'm having an issue with the {product_purchased}. Please assist. :) I've already contacted customer support multiple times, but the issue remains unresolved.""]","24,32,43,61,69,139,143,148,239,266,281,308,337,355,399,409,414,474,510,522,531,534,543,548,579,600,692,733,777,788,793,822,841,847,854,859,882,917,926,927,929,1002,1035,1048,1069,1103,1155,1180,1312,1347,1373,1416,1420,1422,1437,1507,1546,1557,1633,1641,1686,1691,1702,1718,1791,2032,2048,2121,2197,2207,2221,2223,2249,2312,2315,2325,2356,2360,2383,2461,2462,2466,2479,2481,2493,2551,2573,2691,2723,2746,2854,2981,3042,3048,3065,3076,3092,3108,3151,3157,3164,3194,3213,3219,3260,3285,3298,3339,3346,3358,3451,3576,3610,3658,3776,3781,3782,3817,3830,3850,3868,3897,3907,3913,3947,3987,4035,4050,4067,4093,4099,4117,4134,4154,4187,4203,4206,4213,4281,4346,4377,4463,4502,4526,4564,4604,4611,4652,4654,4656,4669,4685,4688,4721,4739,4804,4813,4843,4887,4888,4924,4930,4941,4995,5087,5089,5106,5107,5113,5114,5124,5135,5169,5185,5219,5322,5437,5492,5539,5574,5590,5600,5665,5743,5757,5771,5814,5819,5824,5843,5864,5889,5931,5970,6010,6074,6098,6155,6161,6169,6174,6259,6265,6357,6375,6423,6432,6471,6496,6560,6563,6569,6584,6591,6697,6701,6762,6764,6792,6807,6808,6896,6928,7011,7031,7044,7073,7113,7129,7201,7202,7222,7248,7277,7321,7349,7360,7371,7377,7381,7384,7409,7596,7601,7605,7607,7612,7615,7620,7633,7682,7689,7801,7806,7828,7875,7877,7927,7928,7970,8020,8066,8082,8165,8171,8195,8240,8254,8325,8441,8445"
13,189,13_access_regain_displaying_credentials,"['access', 'regain', 'displaying', 'credentials', 'though', 'invalid', 'even', 'login', 'correct', 'account']","['unable access product_purchased', 'access product_purchased account', 'product_purchased account', 'product_purchased issue', 'product_purchased issue started', 'product_purchased account keeps', 'access product_purchased', 'firmware product_purchased issue', 'firmware product_purchased', 'product_purchased']","[""**Main Theme:** Customers are experiencing repeated issues accessing their accounts due to persistent 'Invalid Credentials' errors, leading to concerns about account security and affecting their productivity.""]","[""Data loss I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account?\n\nOnce I I've checked for any available software updates for my {product_purchased}, but there are none."", ""Refund request I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? {* traditionalSignIn I've already contacted customer support multiple times, but the issue remains unresolved."", ""Cancellation request I'm unable to access my {product_purchased} account. It keeps displaying an 'Invalid Credentials' error, even though I'm using the correct login information. How can I regain access to my account? {* #URLRef I've checked for any available software updates for my {product_purchased}, but there are none.""]","7,70,210,244,265,272,284,435,444,624,634,641,704,714,736,762,785,796,823,842,897,898,933,937,1022,1041,1070,1078,1081,1186,1201,1260,1262,1275,1326,1378,1447,1461,1530,1536,1544,1669,1837,1885,1934,2004,2166,2171,2245,2273,2304,2379,2412,2449,2454,2517,2525,2540,2577,2591,2734,2739,2750,2787,2792,2837,2976,2988,3031,3068,3183,3214,3299,3338,3344,3593,3617,3706,3753,3881,3893,3918,4103,4172,4215,4235,4252,4298,4311,4392,4500,4545,4584,4608,4675,4696,4707,4759,4801,4826,4864,4879,4882,4925,4977,5045,5136,5160,5171,5173,5197,5290,5306,5311,5323,5420,5424,5470,5514,5627,5652,5681,5696,5699,5704,5795,5825,5831,5913,5922,5954,5960,5967,5988,6070,6072,6097,6130,6164,6181,6218,6223,6256,6285,6310,6315,6337,6397,6419,6547,6593,6665,6674,6748,6750,6794,6932,6938,6976,7000,7053,7066,7071,7109,7193,7221,7253,7265,7287,7382,7431,7464,7485,7506,7535,7554,7579,7701,7706,7717,7841,7917,7990,8069,8166,8269,8306,8353,8404"
14,170,14_flickering_screen_seems_should,"['flickering', 'screen', 'seems', 'should', 'do', 'hardware', 'use', 'unable', 'what', 'there']","['product_purchased screen', 'problem product_purchased', 'issue hardware', 'product_purchased issue', 'screen flickering', 'problem hardware', 'flickering', 'product_purchased', 'hardware', 'concerned security product_purchased']","['**Main Theme:** Customers are experiencing persistent screen flickering issues with their purchased products, leading to significant usability challenges and concerns regarding hardware failure.']","[""Delivery problem There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do?\n\nThe screen is flickering on all three platforms and the OS is apparently unable I rely heavily on my {product_purchased} for my daily tasks, and this issue is hindering my productivity."", ""Hardware issue There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? It seems to be a hardware problem with my device. The screen is flickering, I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?"", ""Data loss There seems to be a hardware problem with my {product_purchased}. The screen is flickering, and I'm unable to use it. What should I do? I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?""]","133,141,160,189,228,335,376,407,497,613,637,943,976,1012,1144,1153,1193,1234,1279,1306,1414,1424,1452,1540,1580,1630,1650,1655,1672,1887,1942,2099,2157,2162,2219,2253,2270,2330,2359,2442,2463,2509,2578,2605,2624,2634,2698,2718,2742,2753,2766,2768,2798,2840,2875,2917,3001,3044,3070,3095,3132,3189,3209,3216,3273,3292,3329,3416,3442,3466,3478,3628,3635,3661,3672,3678,3698,3911,3977,4060,4144,4163,4255,4271,4297,4348,4379,4489,4543,4559,4605,4606,4684,4724,4855,4999,5104,5403,5418,5469,5522,5610,5612,5649,5653,5692,5747,5762,5774,5776,5856,5863,5883,6002,6040,6103,6120,6123,6179,6224,6448,6476,6485,6503,6581,6619,6655,6715,6740,6839,6843,6934,6952,6982,6997,7003,7074,7093,7110,7144,7161,7186,7203,7208,7240,7250,7393,7414,7440,7447,7508,7514,7515,7520,7574,7629,7657,7688,7735,7779,7864,7902,8012,8053,8129,8212,8414,8432,8448,8469"
15,164,15_encountered_retrieve_documents_disappeared,"['encountered', 'retrieve', 'documents', 'disappeared', 'seem', 'files', 'them', 'guide', 'loss', 'all']","['product_purchased issue', 'issue product_purchased', 'data loss', 'reset product_purchased', 'product_purchased issue persists', 'product_purchased hoping resolve', 'product_purchased', 'factory reset product_purchased', 'data loss ve', 'reset product_purchased hoping']",['Main Theme: Customers are experiencing data loss with their purchased products and are seeking guidance on document retrieval.'],"[""Cancellation request I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?\n\nIf none of these files have gone missing and your site is I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?"", ""Display issue I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?\n\nYou can find all the files on http://web2- I need assistance as soon as possible because it's affecting my work and productivity."", ""Battery life I've encountered a data loss issue with my {product_purchased}. All the files and documents seem to have disappeared. Can you guide me on how to retrieve them?\n\nIt is possible to retrieve files or documents which are expired because I've checked the device settings and made sure that everything is configured correctly.""]","136,296,320,340,353,393,428,640,706,740,848,906,918,970,1034,1038,1091,1273,1285,1308,1334,1355,1434,1442,1478,1539,1855,1911,1972,2014,2027,2047,2129,2150,2284,2431,2439,2452,2553,2646,2656,2657,2708,2771,2803,2814,2841,2870,3090,3116,3121,3141,3279,3302,3336,3337,3369,3397,3398,3565,3607,3686,3869,3927,4007,4017,4041,4120,4196,4274,4418,4456,4506,4581,4655,4699,4796,4808,4832,4973,4980,4983,4989,4993,5014,5122,5146,5159,5163,5200,5206,5256,5275,5285,5440,5461,5642,5647,5804,5951,5975,6005,6012,6027,6115,6142,6154,6156,6180,6204,6213,6234,6318,6388,6402,6407,6477,6499,6521,6522,6589,6598,6626,6728,6754,6836,6979,7001,7007,7043,7099,7114,7121,7127,7175,7230,7296,7311,7359,7369,7372,7387,7438,7501,7606,7645,7690,7711,7759,7773,7862,7873,7894,7904,8011,8059,8117,8159,8173,8204,8215,8311,8319,8392"
16,170,16_refund_request_assist_issue,"['refund', 'request', 'assist', 'issue', 'having', 'an', 'the', 'please', 'with', 'but']","['having issue product_purchased', 'issue product_purchased', 'issue product_purchased assist', 'product_purchased', 'product_purchased assist', 'unresolved refund request', 'refund request', 'unexpectedly refund request', 'issue persists refund', 'refund']","['**Main Theme:** Customers are repeatedly experiencing unresolved issues with the product purchased, leading to multiple refund requests and frustrations regarding support.']","[""Refund request I'm having an issue with the {product_purchased}. Please assist. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."", ""Refund request I'm having an issue with the {product_purchased}. Please assist. 1 2 Next » I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."", 'Refund request I\'m having an issue with the {product_purchased}. Please assist. ""\n\n[ { product_purchased, name = "" XBOOST_BLUEGRIN_1 "" } ]]\n\n# I\'ve already contacted customer support multiple times, but the issue remains unresolved.']","121,146,158,172,177,269,278,302,344,395,397,422,436,441,499,514,555,646,664,698,726,744,815,871,874,875,878,889,1009,1018,1077,1093,1096,1200,1228,1249,1582,1606,1614,1619,1692,1732,1895,2003,2008,2013,2028,2044,2057,2101,2122,2250,2280,2400,2513,2590,2637,2643,2697,2726,2810,2838,2962,2998,3113,3253,3333,3383,3483,3502,3563,3575,3637,3847,3860,3862,3887,3912,3954,4002,4026,4115,4143,4164,4173,4174,4253,4413,4457,4496,4513,4692,4704,4746,4844,4869,4900,5006,5038,5062,5072,5162,5168,5227,5234,5258,5262,5355,5359,5395,5402,5567,5625,5650,5705,5707,5765,5849,5947,5978,6031,6039,6048,6109,6232,6272,6405,6409,6451,6458,6514,6538,6568,6743,6855,6880,6892,6969,7042,7051,7111,7133,7149,7214,7254,7261,7272,7328,7378,7415,7455,7503,7674,7736,7749,7754,7956,7973,8044,8048,8115,8119,8168,8206,8207,8213,8273,8320,8420,8466"
17,154,17_locked_unlock_account_logging,"['locked', 'unlock', 'account', 'logging', 'into', 'issues', 'says', 'do', 'should', 'facing']","['product_purchased account', 'account locked', 'product_purchased issue', 'unlock account', 'product_purchased', 'account access', 'account access facing', 'log account', 'contacted customer support', 'locked']","['**Main Theme:** Customers are experiencing widespread issues with their {product_purchased} accounts being locked, leading to difficulties in accessing and troubleshooting their accounts.']","[""Payment issue I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?\n\nThe {product_purchased} account is locked, there's no way to I need assistance as soon as possible because it's affecting my work and productivity."", ""Network problem I'm facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?\n\nI'm facing issues logging into my {product_purchased} account. It I'm concerned about the security of my {product_purchased} and would like to ensure that my data is safe."", 'Network problem I\'m facing issues logging into my {product_purchased} account. It says my account is locked. What should I do to unlock it?\n\n""I\'m facing issues logging into my {product_purchased} account. I\'m unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?']","85,161,184,273,494,614,659,701,768,774,910,980,1068,1076,1117,1173,1266,1316,1444,1471,1520,1586,1599,1610,1705,1711,1763,1779,1817,1865,1867,1871,1884,1947,1980,2082,2335,2380,2405,2408,2416,2662,2682,2699,2717,2796,2847,2919,3056,3104,3185,3200,3234,3247,3283,3287,3387,3405,3417,3465,3495,3554,3578,3646,3688,3702,3742,3772,3826,3841,3967,3989,4040,4055,4073,4161,4243,4251,4313,4354,4402,4475,4622,4635,4737,4798,4802,4860,4861,5071,5096,5112,5220,5270,5273,5356,5358,5566,5616,5657,5686,5737,5751,5788,5809,5919,5920,5921,6001,6033,6071,6118,6133,6284,6290,6372,6433,6557,6576,6601,6604,6620,6647,6747,6778,6812,6845,6852,6887,7010,7024,7097,7283,7367,7385,7486,7527,7561,7562,7577,7585,7624,7631,7677,7731,7832,7833,7924,7961,8010,8067,8079,8226,8382"
18,193,18_installation_support_assist_please,"['installation', 'support', 'assist', 'please', 'having', 'an', 'the', 'issue', 'with', 'for']","['having issue product_purchased', 'issue product_purchased assist', 'issue product_purchased', 'product_purchased assist', 'product_purchased', 'installation support', 'unexpectedly installation support', 'installation support having', 'unresolved installation support', 'persists installation support']","['**Main Theme:** Customers are experiencing persistent installation issues with their purchased products, leading to frustration and a negative impact on their productivity.']","[""Installation support I'm having an issue with the {product_purchased}. Please assist. I need assistance as soon as possible because it's affecting my work and productivity."", ""Installation support I'm having an issue with the {product_purchased}. Please assist. I've tried troubleshooting steps mentioned in the user manual, but the issue persists."", ""Installation support I'm having an issue with the {product_purchased}. Please assist.\n\nQnR\n\nXaL\n\nLux\n\nPantheon\n\nXD\n\nNyx\n\nNyx I've already contacted customer support multiple times, but the issue remains unresolved.""]","22,214,245,257,334,375,477,478,547,550,567,617,648,651,653,666,721,776,953,961,995,1054,1134,1162,1197,1208,1227,1246,1287,1376,1438,1509,1622,1717,1733,1747,1762,1810,1829,1896,1924,1937,1969,1990,2039,2064,2075,2092,2098,2131,2217,2229,2233,2292,2345,2376,2435,2460,2467,2474,2483,2555,2557,2686,2764,2879,2920,2944,2956,2993,2997,3022,3036,3047,3049,3057,3064,3102,3156,3159,3224,3231,3264,3424,3428,3435,3500,3525,3594,3597,3629,3718,3806,3812,3822,3859,3926,3991,4045,4068,4107,4184,4195,4265,4266,4310,4350,4355,4389,4390,4404,4419,4455,4501,4521,4638,4677,4711,4774,4812,4828,4865,4897,4943,4979,5090,5308,5405,5427,5435,5465,5466,5503,5523,5673,5778,5802,5867,5868,5918,5936,5939,5953,5982,5995,6050,6163,6249,6270,6293,6338,6383,6464,6509,6553,6577,6602,6758,6788,6803,6842,6925,6975,6977,7036,7084,7188,7247,7258,7346,7370,7673,7718,7762,7799,7802,7830,7834,7836,7842,7874,7977,8023,8026,8125,8200,8262,8307,8396,8402,8421,8434,8435"
19,165,19_deleted_accidentally_important_urgently,"['deleted', 'accidentally', 'important', 'urgently', 'files', 'them', 'way', 'recover', 'from', 'need']","['product_purchased way recover', 'recover deleted files', 'data product_purchased', 'important data product_purchased', 'product_purchased issue', 'deleted important data', 'deleted files', 'data product_purchased way', 'way recover deleted', 'deleted files need']",['**Main Theme:** Customers are urgently seeking assistance in recovering accidentally deleted important data from their purchased products.'],"[""Cancellation request I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently.\n\nI've accidentally deleted important data from my {product_purchased}. Is there any I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help."", ""Product compatibility I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently.\n\n\nI've accidentally deleted important data from my {product_purchased}. Is there any I've performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn't help."", ""Delivery problem I've accidentally deleted important data from my {product_purchased}. Is there any way to recover the deleted files? I need them urgently.\n\nI've accidentally deleted important data from my {product_purchased}. Is there any The issue I'm facing is intermittent. Sometimes it works fine, but other times it acts up unexpectedly.""]","68,71,103,111,216,248,358,372,384,400,403,427,486,805,894,900,907,1045,1090,1192,1206,1265,1345,1431,1480,1543,1564,1661,1723,1731,1783,1805,1811,1879,2029,2068,2199,2265,2293,2316,2336,2353,2402,2542,2582,2670,2757,2761,2881,2943,2994,3034,3100,3126,3171,3229,3240,3278,3313,3351,3412,3421,3422,3467,3521,3552,3652,3695,3697,3759,3762,3845,3995,4106,4169,4181,4190,4227,4258,4276,4385,4407,4441,4525,4553,4609,4660,4693,4775,4789,4790,4822,4839,4871,4933,4966,4975,4991,5040,5248,5315,5425,5447,5460,5480,5532,5534,5564,5634,5639,5648,5769,5826,5896,5972,6026,6030,6145,6196,6217,6229,6266,6289,6350,6365,6413,6459,6528,6539,6558,6599,6610,6733,6787,6841,6882,6902,6941,7014,7062,7085,7090,7176,7244,7558,7621,7643,7696,7766,7933,7942,7957,8080,8094,8112,8150,8216,8235,8259,8336,8383,8385,8443,8444,8461"
20,145,20_lost_stored_crashed_data,"['lost', 'stored', 'crashed', 'data', 'way', 'recover', 'all', 'there', 'any', 'on']","['data loss product_purchased', 'recover data', 'loss product_purchased', 'product_purchased issue', 'refund request product_purchased', 'problem product_purchased', 'product_purchased issue started', 'access product_purchased', 'display issue product_purchased', 'request product_purchased']","['**Main Theme:** Customers are experiencing significant data loss due to crashes of their purchased products and are seeking solutions for data recovery, often exacerbated by firmware updates and compatibility issues.']","[""Battery life My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data?\n\nIs there any way to recover the lost data? Can it be done remotely from a remote I've noticed a peculiar error message popping up on my {product_purchased} screen. It says '{error_message}'. What does it mean?"", 'Data loss My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data? And is the ""data is not readable"" really a way to recover lost data?\n\n\nI I\'ve performed a factory reset on my {product_purchased}, hoping it would resolve the problem, but it didn\'t help.', ""Cancellation request My {product_purchased} crashed, and I lost all the data stored on it. Is there any way to recover the lost data?\n\nA: I lost all the data stored on this system at once. Even before my name I'm unable to find the option to perform the desired action in the {product_purchased}. Could you please guide me through the steps?""]","96,118,180,339,357,410,524,586,609,612,619,631,654,676,813,819,892,940,1044,1098,1189,1251,1286,1423,1513,1581,1693,1741,1752,1759,1866,1930,1958,2209,2355,2438,2587,2611,2633,2738,2774,2878,2964,3016,3037,3045,3161,3309,3374,3376,3620,3660,3886,3901,3951,3996,4028,4186,4202,4229,4303,4335,4341,4395,4412,4436,4485,4488,4561,4617,4714,4717,4729,4742,4743,4747,4807,4885,4902,4945,5008,5042,5052,5128,5182,5232,5257,5264,5572,5577,5598,5719,5749,5798,5799,5897,5915,5934,5955,5990,6121,6456,6524,6572,6621,6625,6726,6730,6767,7012,7037,7052,7117,7152,7195,7339,7394,7429,7450,7528,7541,7545,7546,7565,7597,7626,7639,7672,7680,7750,7804,7838,7866,8007,8065,8189,8229,8238,8255,8257,8323,8344,8347,8422,8431"
21,163,21_recommendation_product_please_assist,"['recommendation', 'product', 'please', 'assist', 'the', 'an', 'having', 'issue', 'with', 'product_purchased']","['having issue product_purchased', 'issue product_purchased', 'product_purchased product', 'product_purchased product recommendation', 'application product_purchased product', 'product_purchased', 'issue product_purchased assist', 'application product_purchased', 'product_purchased assist', 'feature application product_purchased']","['**Main Theme:** Customers are experiencing persistent issues with their purchased products and are seeking immediate assistance, which is affecting their work productivity.']","[""Product recommendation I'm having an issue with the {product_purchased}. Please assist.\n\n# $ product_solution.product_solution,\n\n# product_hijo_code,.additional_code.add_ I need assistance as soon as possible because it's affecting my work and productivity."", ""Product recommendation I'm having an issue with the {product_purchased}. Please assist. I've followed the troubleshooting steps mentioned in the user manual, but the issue persists."", ""Product recommendation I'm having an issue with the {product_purchased}. Please assist. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.""]","57,87,131,155,174,207,224,227,229,300,348,360,458,466,551,626,670,693,713,735,783,787,791,814,884,899,915,963,1075,1122,1175,1216,1250,1276,1288,1429,1492,1523,1532,1573,1798,1819,1858,1938,1991,2020,2025,2142,2167,2201,2274,2278,2453,2811,2830,2860,2896,3029,3085,3129,3232,3248,3289,3304,3322,3441,3532,3690,3795,3809,3940,3964,4003,4102,4126,4204,4248,4267,4285,4295,4305,4306,4333,4364,4399,4499,4534,4598,4629,4666,4683,4779,4825,4890,4895,4931,5057,5109,5235,5430,5547,5584,5620,5684,5687,5740,5741,5780,5801,5827,5910,5924,5946,5950,6023,6041,6059,6124,6158,6175,6216,6226,6251,6255,6267,6302,6323,6343,6399,6421,6552,6575,6624,6648,6673,6689,6704,6742,6751,6781,6879,6939,6949,6953,6990,6991,7047,7206,7216,7361,7513,7516,7662,7747,7803,7991,8017,8028,8043,8052,8086,8132,8345"
22,127,22_delivery_problem_issue_an,"['delivery', 'problem', 'issue', 'an', 'assist', 'having', 'the', 'with', 'please', 'but']","['product_purchased delivery problem', 'having issue product_purchased', 'issue product_purchased', 'product_purchased delivery', 'application product_purchased delivery', 'product_purchased app issue', 'issue product_purchased assist', 'product_purchased', 'product_purchased assist', 'unresolved delivery problem']","['**Main Theme:** Customers are experiencing persistent problems with their purchased products, leading to multiple unresolved support requests that affect their productivity.']","[""Delivery problem I'm having an issue with the {product_purchased}. Please assist.\n\n\nI'm having an issue with the {product_purchased}. Please assist. I've tried clearing the cache and data for the {product_purchased} app, but the issue persists."", ""Delivery problem I'm having an issue with the {product_purchased}. Please assist. I've already contacted customer support multiple times, but the issue remains unresolved."", ""Delivery problem I'm having an issue with the {product_purchased}. Please assist. I've tried troubleshooting steps mentioned in the user manual, but the issue persists.""]","101,116,156,183,243,328,398,462,671,729,743,751,865,942,1046,1135,1233,1261,1417,1500,1504,1511,1516,1566,1574,1575,1598,1607,1627,1797,1806,2012,2115,2124,2149,2164,2172,2262,2266,2528,2568,2659,2701,2721,2737,2777,2902,2906,3061,3246,3331,3396,3415,3450,3505,3671,3709,3715,3755,3816,3904,3931,3943,3957,3997,4006,4051,4109,4119,4171,4217,4331,4368,4472,4580,4642,4653,4663,4690,4791,4858,5004,5067,5092,5165,5225,5276,5281,5328,5361,5399,5417,5551,5739,5836,5870,5895,5976,6029,6207,6263,6277,6317,6345,6536,6721,6817,7058,7140,7228,7245,7266,7324,7392,7543,7628,7876,7981,8038,8046,8068,8078,8127,8137,8193,8287,8415"
23,123,23_noises_strange_functioning_suspect,"['noises', 'strange', 'functioning', 'suspect', 'making', 'properly', 'might', 'help', 'hardware', 'me']","['hardware issue product_purchased', 'product_purchased making strange', 'product_purchased issue', 'issue product_purchased making', 'display issue product_purchased', 'problem product_purchased making', 'installation support product_purchased', 'product_purchased hoping resolve', 'software bug product_purchased', 'suspect hardware issue']","['**Main Theme:** Customers are experiencing persistent issues with their products making strange noises and not functioning properly, leading to concerns about potential hardware malfunctions.']","[""Installation support My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?\n\n\nMy {product_purchased} is making strange noises and not I've tried troubleshooting steps mentioned in the user manual, but the issue persists."", ""Hardware issue My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this?\n\nMy {product_purchased} is making strange noises and not I've already contacted customer support multiple times, but the issue remains unresolved."", ""Hardware issue My {product_purchased} is making strange noises and not functioning properly. I suspect there might be a hardware issue. Can you please help me with this? My {product_purchased} is making strange noises and not functioning properly I've checked the device settings and made sure that everything is configured correctly.""]","10,26,115,336,396,415,483,484,490,668,689,938,1010,1024,1025,1033,1115,1230,1280,1296,1472,1508,1514,1529,1565,1651,1689,1719,1744,1788,1815,1828,1832,1849,1918,1975,2083,2112,2244,2307,2314,2367,2369,2413,2423,2572,2581,2600,2606,2636,2638,2660,2763,3257,3263,3315,3354,3425,3449,3472,3513,3536,3564,3649,3821,4053,4076,4197,4317,4353,4378,4420,4627,4765,4771,4785,4878,4904,5011,5032,5291,5299,5385,5450,5569,5615,5618,5695,5702,5724,5789,6244,6297,6327,6339,6358,6411,6515,6661,6667,6753,6874,6916,7019,7064,7096,7155,7215,7580,7676,7725,7728,7734,7853,7932,7976,7992,8087,8135,8279,8298,8411,8465"
